,True Assessed Value,multi-linear,lasso,ridge,RFR,XGBoost
208,426500,401221.1473806985,401220.59801467136,401191.44070853293,433297.0,445610.75
209,499500,459354.9789490253,459354.45468961075,459330.4855774231,461055.0,472125.46875
210,499500,602498.6188118942,602498.1945582926,602487.860628143,496173.0,513996.34375
211,474000,394088.1792621687,394088.9326649904,394056.6261645965,461681.0,420594.625
212,387000,365351.8700559214,365352.36463832855,365315.82824315503,401457.0,391395.3125
213,389000,366565.2467565425,366564.6684919484,366533.940089453,404120.0,404579.34375
214,476000,525240.9699559473,525240.7552983388,525227.5010037236,478588.0,485795.125
215,435500,403811.7758174911,403811.56226984784,403788.7156324275,455403.0,447896.4375
216,401500,257711.24543756247,257710.86914598197,257674.52347768843,363442.0,367988.5
217,446500,416021.4755839519,416022.31964951754,415995.9950504899,448925.0,444670.15625
218,373000,400656.4915355705,400653.42878699675,400556.7252297215,348311.0,316238.9375
219,341500,541298.2680632323,541293.3407035284,541126.640644215,379742.0,347072.28125
220,283000,303966.8912467621,303963.9700019546,303864.10737350583,332671.0,268884.96875
221,339000,441128.8663153872,441125.854630854,441033.8361744471,342757.0,342780.53125
222,386500,576639.7898241095,576633.7161078714,576472.600636173,381806.0,399345.8125
223,361000,436059.03047803417,436055.0018341467,435969.60715416446,349415.0,364064.28125
224,353500,462382.6568903439,462379.80179333314,462293.5092143975,366582.0,369929.40625
225,388000,493386.2829503678,493382.13452999294,493297.34259429574,384632.0,383319.875
226,586500,752041.6832504906,752038.0527054071,751985.4460168183,740985.0,917281.125
227,338500,312796.4974785894,312793.8151758127,312686.4236369878,346184.0,340016.65625
228,381500,420482.4790953621,420478.61552707106,420386.0220054537,369386.0,401755.21875
229,384000,378840.88286303356,378837.0370263085,378741.4450967312,380058.0,384203.15625
230,367000,408082.43223048,408079.6903837845,407980.9925787784,388189.0,400374.65625
231,394000,377740.0362565443,377738.50418355316,377685.9604691863,378839.0,375873.90625
232,408500,408577.9929347895,408575.2506467402,408526.1284497529,390404.0,407015.4375
